"term","estimate","odds_ratio","conf_low","conf_high"
"(Intercept)",-0.666670738041622,0.513415028723247,0.198959232948213,1.29567064131457
"moral1",0.101505158195645,1.10683562765193,0.437494826288148,2.83296691577727
"moral2",0.946607470981267,2.57695242724366,1.26075838943001,5.43734509459552
"moral3",0.934768174451791,2.54662301702503,1.10249197316447,6.06428576024484
"moral4",1.52627136806249,4.6009894033992,2.15127586553838,10.1437634137801
"laufkont2",0.531627170742367,1.70169901190327,1.1849875066249,2.45235064962975
"laufkont3",1.076111616881,2.93325174105864,1.550765899058,5.85811120003565
"laufkont4",1.89919683261288,6.68052670579353,4.48835339286945,10.0896435713014
"laufzeit",-0.0343271876722509,0.966255306087795,0.954224219920438,0.978225938383927
"alter",0.0128006116725499,1.01288289019915,0.999046609852303,1.02727908069192
